‰‡Ú‡;»ÕÕ ÔÎ‡Ú.; ¡ ;—‡Î¸‰Ó
01.01.2015;266025966;18210606022040000110;-8344,53
01.01.2015;266001605;18210909010010000110;-0,03
01.01.2015;266001605;18210606022040000110;-24304,75
01.01.2015;266001605;18211603010010000140;-200
01.01.2015;266001605;18210602010020000110;-326,59
01.01.2015;266001605;18210703000010000110;-2,79
01.01.2015;266001605;18210101012020000110;-1070,42
01.01.2015;266001605;18210604011020000110;-2790,01
01.01.2015;266001605;18210101011010000110;-147,79
01.01.2015;266005261;18210909030080000110;-0,78
01.01.2015;266003190;18210904020020000110;-42,85
01.01.2015;266003190;18210909030080000110;-0,02
01.01.2015;266003190;18210909020070000110;-0,02
01.01.2015;266013054;18210101012020000110;-1
01.01.2015;266013054;18210901020040000110;-8,82
01.01.2015;266013054;18210703000010000110;-0,04
01.01.2015;266013054;18210101011010000110;-0,57
01.01.2015;276117302;18210602010020000110;-3,97
01.01.2015;266019024;18210909020070000110;-0,25
01.01.2015;266028452;18210301000010000110;-1,84
01.01.2015;266028452;18210604011020000110;-168,94
01.01.2015;266008167;18211603010010000140;-4300
01.01.2015;266017161;18210604011020000110;-925,61
01.01.2015;266017612;18210907052040000110;-6139,09
01.01.2015;266017612;18210909030080000110;-2778,7
01.01.2015;266017612;18210908030070000140;-105333,99
01.01.2015;266017612;18210906010020000110;-148,84
01.01.2015;266017612;18210904010020000110;-16775,8
01.01.2015;266017612;18210909010010000110;-25124,64
01.01.2015;266017612;18210301000010000110;-692493,83
01.01.2015;266017612;18210604011020000110;-835,35
01.01.2015;266025003;18210604011020000110;-0,55
01.01.2015;266025003;18210602010020000110;-18,32
01.01.2015;276016368;18211603010010000140;-1200
01.01.2015;276005447;18210604011020000110;-0,16
01.01.2015;266043010;18210301000010000110;-376227,09
01.01.2015;266043010;18210101011010000110;-18,41
01.01.2015;266043010;18210101012020000110;-165,73
01.01.2015;263018551;18210301000010000110;-168596,03
01.01.2015;266042263;18210301000010000110;-41,06
01.01.2015;266042263;18210602010020000110;-28,1
01.01.2015;266011716;18210904020020000110;-10,7
01.01.2015;266021810;18210101012020000110;-900
01.01.2015;266021810;18210101011010000110;-100
01.01.2015;266031046;18210908040080000140;-5798,84
01.01.2015;266029294;18211603010010000140;-100
01.01.2015;266031825;18210301000010000110;-1000
01.01.2015;266031832;18210101012020000110;-900
01.01.2015;266031832;18210101011010000110;-100
01.01.2015;266028702;18210909020070000110;-5069,11
01.01.2015;266028702;18210909030080000110;-5283,88
01.01.2015;266028702;18210101011010000110;-100
01.01.2015;266028702;18211603010010000140;-400
01.01.2015;266028702;18210909010010000110;-36511,59
01.01.2015;266028702;18210101012020000110;-900
01.01.2015;266024754;18210101012020000110;-5400
01.01.2015;266024754;18210301000010000110;-6000
01.01.2015;266024754;18210101011010000110;-600
01.01.2015;266024754;18211603010010000140;-400
01.01.2015;7705913186;18210602010020000110;-92,6
01.01.2015;267008113;18211603010010000140;-50
01.01.2015;266042760;18210301000010000110;-1515541
01.01.2015;266005695;18210901020040000110;-66
01.01.2015;266005695;18210301000010000110;-16616,37
01.01.2015;266005695;18210904020020000110;-37
01.01.2015;273028277;18211606000010000140;-30000
01.01.2015;266012300;18210901020040000110;-9843,49
01.01.2015;266012300;18210101012020000110;-94,63
01.01.2015;266012300;18210906010020000110;-1531,19
01.01.2015;266012300;18210907032040000110;-53,14
01.01.2015;266012300;18210101011010000110;-72,97
01.01.2015;266012300;18210905050010000110;-18,16
01.01.2015;266016954;18210909030080000110;-12199,39
01.01.2015;266015943;18210602010020000110;-20,22
01.01.2015;266015943;18211603010010000140;-400
01.01.2015;266015943;18210101011010000110;-942,47
01.01.2015;266015943;18210101012020000110;-835
01.01.2015;266015943;18210301000010000110;-4028,34
01.01.2015;266015943;18210909010010000110;-995,42
01.01.2015;266019264;18210901020040000110;-536,66
01.01.2015;266019264;18210101012020000110;-4,4
01.01.2015;266019264;18210101011010000110;-2,56
01.01.2015;266019264;18210904010020000110;-1017,26
01.01.2015;266019264;18210904030010000110;-2673,83
01.01.2015;266019264;18210907032040000110;-131,9
01.01.2015;266022852;18210501021010000110;-31,81
01.01.2015;266022852;18210907032040000110;-0,03
01.01.2015;266016930;18210909020070000110;-11,23
01.01.2015;266016930;18210904030010000110;-119,92
01.01.2015;266016930;18210904010020000110;-4425,47
01.01.2015;266016930;18210909030080000110;-10,12
01.01.2015;266016930;18210101012020000110;-39,59
01.01.2015;266016930;18210901020040000110;-5,48
01.01.2015;266016930;18210101011010000110;-20,49
01.01.2015;266016930;18210909010010000110;-78,65
01.01.2015;266016930;18210907032040000110;-341,48
01.01.2015;266016930;18210703000010000110;-19,4
01.01.2015;7716199693;18210604011020000110;-3191,28
01.01.2015;7716199693;18210602010020000110;-1084162,84
