ƒ‡Ú‡;»ÌÌ; ¡ ;—‡Î¸‰Ó
01.01.2015;0266027829;18210301000010000110;-102947,36
01.01.2015;0266032473;18210301000010000110;-96277,77
01.01.2015;0266001299;18210301000010000110;-4658612,29
01.01.2015;0266001299;18210602020020000110;-126233,21
01.01.2015;0266001299;18210909010010000110;-78816,85
01.01.2015;0266001299;18210301000010000110;-1225138,93
01.01.2015;0266001299;18210604011020000110;-2493847,66
01.01.2015;0266001299;18210602010020000110;-4056991,66
01.01.2015;0266001299;18210102010010000110;-3578656,76
01.01.2015;0266027970;18210501012010000110;-267005,95
01.01.2015;0266029960;18210501022010000110;-117978,3
01.01.2015;0266035033;18210301000010000110;-493245
01.01.2015;0266012036;18210301000010000110;-1453722,87
01.01.2015;0266027547;18210602010020000110;-113559,19
01.01.2015;0266008840;18210301000010000110;-111062,14
01.01.2015;0266008840;18210101011010000110;-82766,55
01.01.2015;0266008840;18210101012020000110;-79596,04
01.01.2015;0266006674;18210301000010000110;-80529,42
01.01.2015;0266006674;18210908020060000140;-54987,06
01.01.2015;0266011160;18210908020060000140;-68791,66
01.01.2015;0266008230;18210904052040000110;-53744,85
01.01.2015;0277028101;18210101012020000110;-355713,86
01.01.2015;0276002277;18210907052040000110;-136541,82
01.01.2015;0266003909;18210908020060000140;-64089,02
01.01.2015;3102009833;18210602010020000110;-659308,06
01.01.2015;0275026324;18210102010010000110;-1039271,62
01.01.2015;0276061716;18210502020020000110;-121195,77
01.01.2015;0266014611;18210301000010000110;-7060572,77
01.01.2015;0266014530;18210909010010000110;-119383,2
01.01.2015;0266014530;18210301000010000110;-1903072,91
01.01.2015;9909028426;18210908020060000140;-68484,16
01.01.2015;9909028426;18210301000010000110;-58460,95
01.01.2015;0266014587;18210301000010000110;-539913,37
01.01.2015;0266007276;18210906010020000110;-62238,64
01.01.2015;0266021915;18210102010010000110;-1925177,34
01.01.2015;0266021915;18210101012020000110;-244997,01
01.01.2015;0266021915;18210301000010000110;-3558865,97
01.01.2015;0266021915;18210602010020000110;-154047,76
01.01.2015;0266021915;18210604011020000110;-194035,58
01.01.2015;0266002260;18210101011010000110;-106488,91
01.01.2015;0266002260;18210101012020000110;-136311,33
01.01.2015;0266003480;18210908020060000140;-79676,77
01.01.2015;0266003480;18210904020020000110;-53443,98
01.01.2015;0266003480;18210904010020000110;-63031,81
