ƒ‡Ú‡;»ÌÌ; ¡ ;—‡Î¸‰Ó
01.03.2015;0266016930;18210909020070000110;-11,23
01.03.2015;0266016930;18210703000010000110;-19,47
01.03.2015;0266016930;18210904010020000110;-4437,03
01.03.2015;0266016930;18210904030010000110;-120,28
01.03.2015;0266016930;18210907032040000110;-342,4
01.03.2015;0266016930;18210101012020000110;-39,59
01.03.2015;0266016930;18210101011010000110;-20,49
01.03.2015;0266016930;18210909010010000110;-78,65
01.03.2015;0266017235;18210907052040000110;-12921,94
01.03.2015;0266017235;18210907032040000110;-380,83
01.03.2015;0266017235;18210908030070000140;-471,66
01.03.2015;0266017235;18210908040080000140;-15,66
01.03.2015;0266017235;18210908020060000140;-76,9
01.03.2015;0266017235;18210908060010000140;-2,55
01.03.2015;0266017235;18210904030010000110;-16830,04
01.03.2015;0266017235;18210901020040000110;-2469,26
01.03.2015;0266017235;18210703000010000110;-20,49
01.03.2015;0266017235;18210101011010000110;-3,03
01.03.2015;0266017235;18210904010020000110;-10299,61
01.03.2015;0273028277;18211606000010000140;-30000
01.03.2015;0274065433;18210703000010000110;-0,01
01.03.2015;0274065433;18210301000010000110;-1100
01.03.2015;0266016739;18210907032040000110;-3,95
01.03.2015;0266024063;18210101012020000110;-52,23
01.03.2015;0266016190;18210501030010000110;-39,74
01.03.2015;0275043200;18210602010020000110;-563,4
01.03.2015;0266011402;18210904010020000110;-245,15
01.03.2015;0266011402;18210908030070000140;-21,04
01.03.2015;0274151386;18210604011020000110;-1,53
01.03.2015;0266007854;18210904020020000110;-0,01
01.03.2015;0266003360;18210904010020000110;-237,62
01.03.2015;0266003360;18210904030010000110;-250,39
01.03.2015;0266003360;18210101012020000110;-5688,46
01.03.2015;0266003360;18210908020060000140;-777,26
01.03.2015;0266003360;18210102010010000110;-4,08
01.03.2015;0266003360;18210905050010000110;-892,77
01.03.2015;0266003360;18210901020040000110;-1717,75
01.03.2015;0266003360;18210101011010000110;-4470,76
01.03.2015;0266003360;18210301000010000110;-6155,57
01.03.2015;0266011339;18210905010010000110;-11114,61
01.03.2015;0266011339;18210301000010000110;-13809,38
01.03.2015;0266002581;18210301000010000110;-1982,19
01.03.2015;0266002581;18210908030070000140;-56,26
01.03.2015;0266007484;18210908020060000140;-5034,61
01.03.2015;0266007484;18210908030070000140;-67,4
01.03.2015;0266010832;18210904030010000110;-601,74
01.03.2015;0266010832;18210907032040000110;-146,56
01.03.2015;0266010832;18210908030070000140;-712,51
01.03.2015;0266010832;18210904010020000110;-1566,03
01.03.2015;0266010832;18210908020060000140;-2270,01
01.03.2015;0266010832;18210301000010000110;-52866,72
01.03.2015;0266010832;18210908060010000140;-272,34
01.03.2015;0266010832;18210908040080000140;-910,5
01.03.2015;0266010832;18210907052040000110;-7073,07
01.03.2015;0266010832;18210905050010000110;-543,6
01.03.2015;0266002550;18210301000010000110;-2533,88
01.03.2015;0266003377;18210905050010000110;-2351,03
01.03.2015;0266003377;18210904030010000110;-623,01
01.03.2015;0266003377;18210901020040000110;-975,31
01.03.2015;0266003377;18210101011010000110;-2548,15
01.03.2015;0266003377;18210301000010000110;-11433,9
01.03.2015;0266003377;18210101012020000110;-3195,05
01.03.2015;0266009629;18210904030010000110;-39,99
01.03.2015;0266003112;18210908020060000140;-88
01.03.2015;0266004765;18210901020040000110;-2972,62
01.03.2015;0266004765;18210904010020000110;-6136,16
01.03.2015;0266004765;18210908020060000140;-4355,04
01.03.2015;0266004765;18210908060010000140;-458,73
01.03.2015;0266004765;18210907052040000110;-409,9
01.03.2015;0266004765;18210904030010000110;-59,71
01.03.2015;0266004765;18210908040080000140;-10,56
01.03.2015;0266004765;18210301000010000110;-4810,23
01.03.2015;0266004765;18210907032040000110;-552,94
01.03.2015;0266004765;18210101012020000110;-9622,47
01.03.2015;0266004765;18210905050010000110;-516,04
01.03.2015;0266004765;18210101011010000110;-7571,51
01.03.2015;0266004765;18210703000010000110;-33,54
01.03.2015;0266002101;18210908020060000140;-42
01.03.2015;0266000344;18210301000010000110;-1114
01.03.2015;0266000344;18210102010010000110;-7,67
01.03.2015;0266000344;18210904030010000110;-3,86
01.03.2015;0266005504;18210904010020000110;-43,36
01.03.2015;0266005504;18210904030010000110;-1386,51
01.03.2015;0266005504;18210101012020000110;-3412,59
01.03.2015;0266005504;18210901020040000110;-1004,12
01.03.2015;0266005504;18210101011010000110;-2605,08
01.03.2015;0266005504;18210301000010000110;-22235,2
01.03.2015;0266003634;18210908030070000140;-684,18
01.03.2015;0266004243;18210101011010000110;-6027,7
01.03.2015;0266004243;18210905050010000110;-1005,66
01.03.2015;0266004243;18210908060010000140;-738,93
01.03.2015;0266004243;18210904030010000110;-22,24
01.03.2015;0266004243;18210908030070000140;-2537,29
01.03.2015;0266004243;18210301000010000110;-67865,73
01.03.2015;0266004243;18210908020060000140;-6511,58
01.03.2015;0266004243;18210904010020000110;-6535,95
01.03.2015;0266004243;18210901020040000110;-2358,51
01.03.2015;0266004243;18210101012020000110;-8027,63
01.03.2015;0266004243;18210907052040000110;-828,58
01.03.2015;0266004243;18210908040080000140;-521,75
01.03.2015;0266005590;18210904030010000110;-2,71
01.03.2015;0266005590;18210905050010000110;-5,12
01.03.2015;0266005590;18210301000010000110;-643,04
01.03.2015;0266005590;18210101011010000110;-4585,68
01.03.2015;0266005590;18210101012020000110;-5992,83
01.03.2015;0266005590;18210901020040000110;-1769,1
01.03.2015;0266004652;18210901020040000110;-352,07
01.03.2015;0266004652;18210907052040000110;-1188,14
01.03.2015;0266004652;18210908040080000140;-807,64
01.03.2015;0266004652;18210908060010000140;-258,01
01.03.2015;0266004652;18210907032040000110;-170,83
01.03.2015;0266004652;18210908030070000140;-4127,88
01.03.2015;0266004652;18210905050010000110;-487,58
01.03.2015;0266004652;18210904030010000110;-6373,21
01.03.2015;0266004652;18210102010010000110;-183,78
01.03.2015;0266004652;18210101012020000110;-1082,23
01.03.2015;0266004652;18210101011010000110;-892,33
01.03.2015;0266004652;18210301000010000110;-5908,4
01.03.2015;0266004652;18210908020060000140;-3063,88
01.03.2015;0266004652;18210904010020000110;-168653,73
01.03.2015;0266011522;18210908030070000140;-243,53
01.03.2015;0266011522;18210904010020000110;-785,08
01.03.2015;0266016055;18210604011020000110;-5235,51
01.03.2015;0266016055;18210602010020000110;-40103,44
01.03.2015;0266034304;18210301000010000110;-1000
01.03.2015;0266014227;18210908020060000140;-687,8
01.03.2015;0266033389;18210501050010000110;-600,54
01.03.2015;0263007648;18210602010020000110;-35,5
01.03.2015;0266006579;18210604011020000110;-0,22
01.03.2015;0266006579;18210301000010000110;-214,3
01.03.2015;0266003507;18210908020060000140;-45994,49
01.03.2015;0266003507;18210905050010000110;-4254,09
01.03.2015;0266003507;18210907052040000110;-5586,23
01.03.2015;0266003507;18210101012020000110;-14,38
01.03.2015;0266003507;18210101011010000110;-10,98
01.03.2015;0266003507;18210301000010000110;-28524,6
01.03.2015;0266003507;18210102010010000110;-89831,97
01.03.2015;0266003507;18210901020040000110;-4,23
01.03.2015;0266003507;18210908040080000140;-9933,25
01.03.2015;0266003507;18210904030010000110;-3535,9
01.03.2015;0266003507;18210904010020000110;-354,42
01.03.2015;0266003507;18210908030070000140;-11756,36
01.03.2015;0266003507;18210908060010000140;-2273,27
01.03.2015;0266008819;18210101012020000110;-1692,62
01.03.2015;0266008819;18210101011010000110;-1292,11
01.03.2015;0266008819;18210901020040000110;-498,04
01.03.2015;0266002711;18210101012020000110;-1177,86
01.03.2015;0266002711;18210908020060000140;-16
01.03.2015;0266002711;18210101011010000110;-972,48
01.03.2015;0266002711;18210901020040000110;-372,05
01.03.2015;0266002711;18210301000010000110;-5154,47
01.03.2015;0266002711;18210904010020000110;-5,57
01.03.2015;0266002711;18210904030010000110;-260,79
01.03.2015;0266002711;18210905050010000110;-857,9
01.03.2015;0266005790;18210908030070000140;-426,18
01.03.2015;0266005790;18210907032040000110;-13,2
01.03.2015;0266005790;18210101012020000110;-15310,01
01.03.2015;0266005790;18210904010020000110;-62,42
01.03.2015;0266005790;18210901020040000110;-4500,75
01.03.2015;0266005790;18210101011010000110;-11506,11
01.03.2015;0266008079;18210908030070000140;-987,22
01.03.2015;0277004301;18210606032040000110;-15,3
01.03.2015;0277004301;18210901020040000110;-0,28
01.03.2015;0277004301;18210907032040000110;-172,54
01.03.2015;0242007245;18210502010020000110;-79890,36
01.03.2015;0266018670;18210606032040000110;-9,1
01.03.2015;0266021150;18210101011010000110;-0,51
01.03.2015;0266021150;18210101012020000110;-4,56
01.03.2015;0266021150;18210606032040000110;-8,47
01.03.2015;0266018711;18210606032040000110;-9,16
01.03.2015;0266018711;18210301000010000110;-0,01
01.03.2015;0266021094;18210602010020000110;-68,86
01.03.2015;0266021094;18210606032040000110;-9,54
01.03.2015;0266021087;18210606032040000110;-8,43
01.03.2015;0266018768;18210606032040000110;-17,52
01.03.2015;0266018831;18210606032040000110;-19,86
01.03.2015;0266018831;18210602010020000110;-5,88
01.03.2015;0266019056;18210301000010000110;-2000
01.03.2015;0266019056;18210602010020000110;-2,8
01.03.2015;0266019056;18211603010010000140;-600
01.03.2015;0266019056;18210606032040000110;-7,6
01.03.2015;0266018817;18210606032040000110;-9,1
01.03.2015;0266018817;18210602010020000110;-9,83
01.03.2015;0266028692;18210602020020000110;-40764,55
01.03.2015;0266028692;18210101011010000110;-73
01.03.2015;0266028692;18210606032040000110;-1009,53
01.03.2015;0266028692;18210101012020000110;-827
01.03.2015;0266018704;18210606032040000110;-7,59
01.03.2015;0266018704;18210602010020000110;-6,49
01.03.2015;0266018630;18210606032040000110;-7,77
01.03.2015;0266018630;18210602010020000110;-7,82
01.03.2015;0266007942;18210101012020000110;-66,85
01.03.2015;0266007942;18211603010010000140;-200
01.03.2015;0266007942;18210606032040000110;-10910,57
01.03.2015;0266007942;18210604011020000110;-179,18
01.03.2015;0266007942;18210602010020000110;-919
01.03.2015;0266007942;18210101011010000110;-100
01.03.2015;0266010494;18210909020070000110;-0,38
01.03.2015;0266017500;18210602010020000110;-1,38
01.03.2015;0266017500;18210606032040000110;-9,66
01.03.2015;0266018694;18210602010020000110;-2,95
01.03.2015;0266018694;18210606032040000110;-372,61
01.03.2015;0266021104;18210602010020000110;-1,68
01.03.2015;0266021104;18210909030080000110;-13,27
01.03.2015;0266021104;18210909010010000110;-171,38
01.03.2015;0266021104;18210909020070000110;-306,19
01.03.2015;0266019017;18210909020070000110;-3,98
01.03.2015;0266019017;18210602010020000110;-3,75
01.03.2015;0266019017;18210909030080000110;-169,25
01.03.2015;0266019200;18210602010020000110;-9
01.03.2015;0266018990;18210606032040000110;-3,13
01.03.2015;0266018990;18210602010020000110;-9,99
01.03.2015;0266018849;18210602010020000110;-2,67
01.03.2015;0266018849;18210909030080000110;-2,31
01.03.2015;0266018983;18210602010020000110;-38,54
01.03.2015;0266019360;18210602010020000110;-0,82
01.03.2015;0266018951;18210602010020000110;-2,96
01.03.2015;0266018951;18210909010010000110;-92,24
01.03.2015;0266019000;18210301000010000110;-100
01.03.2015;0266019000;18210602010020000110;-1,14
01.03.2015;0266019000;18210909010010000110;-3578,29
01.03.2015;0266018824;18210602010020000110;-3,4
01.03.2015;0266021143;18211603010010000140;-50
01.03.2015;0266021143;18210602010020000110;-45,5
01.03.2015;0266021337;18210602010020000110;-0,35
01.03.2015;0266021337;18210909030080000110;-0,07
01.03.2015;0266018535;18210602010020000110;-6,66
01.03.2015;0266018535;18210909030080000110;-146,73
01.03.2015;0266018535;18210909010010000110;-636,53
01.03.2015;0266018800;18210602010020000110;-5,91
01.03.2015;0266018800;18210909010010000110;-0,67
01.03.2015;0266018503;18210602010020000110;-8,01
01.03.2015;0266021111;18210909010010000110;-205,53
01.03.2015;0266021111;18210602010020000110;-15,06
01.03.2015;0266018542;18210602010020000110;-1,2
01.03.2015;0266018542;18210909030080000110;-175,37
01.03.2015;0266020862;18210602010020000110;-4,69
01.03.2015;0266019070;18210602010020000110;-2,72
01.03.2015;0266019070;18210909030080000110;-1350,53
01.03.2015;0266019070;18210909020070000110;-335,58
01.03.2015;0266019070;18210909010010000110;-12,07
01.03.2015;0266018750;18210602010020000110;-1,08
01.03.2015;0266028685;18210602010020000110;-4,86
01.03.2015;0266022732;18210602010020000110;-3,49
01.03.2015;0266018895;18210602010020000110;-3,69
01.03.2015;0266019105;18210602010020000110;-2
01.03.2015;0266019049;18210909030080000110;-1218,24
01.03.2015;0266019049;18210909010010000110;-2402,56
01.03.2015;0266018648;18210602010020000110;-0,79
01.03.2015;0266018782;18210602010020000110;-3,95
01.03.2015;0266018976;18210602010020000110;-1,12
01.03.2015;0266018510;18210602010020000110;-0,04
01.03.2015;0266015781;18210604011020000110;-10,5
01.03.2015;0266015781;18210901020040000110;-1,86
01.03.2015;0266015781;18210904030010000110;-356,56
01.03.2015;0266018246;18210909020070000110;-12607,6
01.03.2015;0266018246;18210604011020000110;-101,34
01.03.2015;0266018246;18210909030080000110;-733,73
01.03.2015;0266019426;18210909030080000110;-1248,39
01.03.2015;0266019426;18210602010020000110;-11,47
01.03.2015;0266033830;18210602010020000110;-251,37
01.03.2015;0266017940;18210602010020000110;-14,31
01.03.2015;0266017940;18210604011020000110;-456,78
01.03.2015;0266018888;18210602010020000110;-13,58
01.03.2015;0266018888;18210909010010000110;-0,01
01.03.2015;0266018944;18210602010020000110;-19,42
01.03.2015;0266018944;18210604011020000110;-3272,36
01.03.2015;0266019225;18210909010010000110;-0,06
01.03.2015;0266019225;18210909030080000110;-916,71
01.03.2015;0266018863;18210909030080000110;-50,4
01.03.2015;0266019433;18210604011020000110;-98,05
01.03.2015;0266015439;18210909030080000110;-797,12
01.03.2015;0266018736;18210101011010000110;-2,13
