Дата;инн;КБК;сальдо
01.03.2015;0266017235;18210904010020000110;-3052
01.03.2015;0273028277;18211606000010000140;-30000
01.03.2015;0274065433;18210301000010000110;-1100
01.03.2015;0275043200;18210602010020000110;-463,4
01.03.2015;0266011402;18210904010020000110;-182,51
01.03.2015;0266003360;18210905050010000110;-193,61
01.03.2015;0266003360;18210901020040000110;-1029,74
01.03.2015;0266003360;18210101011010000110;-376,23
01.03.2015;0266003360;18210901020040000110;-543,03
01.03.2015;0266003360;18210904010020000110;-186,13
01.03.2015;0266003360;18210905050010000110;-699,21
01.03.2015;0266003360;18210301000010000110;-1158,54
01.03.2015;0266003360;18210101012020000110;-3499,69
01.03.2015;0266003360;18210101012020000110;-1696,06
01.03.2015;0266003360;18210908020060000140;-256
01.03.2015;0266003360;18210908020060000140;-521,26
01.03.2015;0266003360;18210904030010000110;-124,53
01.03.2015;0266003360;18210901020040000110;-145,02
01.03.2015;0266003360;18210101012020000110;-492,85
01.03.2015;0266003360;18210301000010000110;-3913,43
01.03.2015;0266003360;18210101011010000110;-1423,06
01.03.2015;0266003360;18210101011010000110;-2671,57
01.03.2015;0266003360;18210301000010000110;-1083,9
01.03.2015;0266011339;18210905010010000110;-8704,46
01.03.2015;0266011339;18210301000010000110;-2228,14
01.03.2015;0266011339;18210301000010000110;-9069,87
01.03.2015;0266011339;18210301000010000110;-2512,06
01.03.2015;0266011339;18210905010010000110;-2410,81
01.03.2015;0266002581;18210301000010000110;-439,76
01.03.2015;0266002581;18210301000010000110;-1542,55
01.03.2015;0266007484;18210908020060000140;-157
01.03.2015;0266007484;18210908020060000140;-4120,61
01.03.2015;0266007484;18210908020060000140;-757
01.03.2015;0266010832;18210908040080000140;-753,22
01.03.2015;0266010832;18210907052040000110;-1763
01.03.2015;0266010832;18210905050010000110;-123,4
01.03.2015;0266010832;18210905050010000110;-396,6
01.03.2015;0266010832;18210907052040000110;-5290,95
01.03.2015;0266010832;18210904010020000110;-363,2
01.03.2015;0266010832;18210301000010000110;-12729,79
01.03.2015;0266010832;18210904030010000110;-150,2
01.03.2015;0266010832;18210904010020000110;-1165,53
01.03.2015;0266010832;18210908020060000140;-1003,01
01.03.2015;0266010832;18210908030070000140;-375,51
01.03.2015;0266010832;18210907032040000110;-104,77
01.03.2015;0266010832;18210908030070000140;-337
01.03.2015;0266010832;18210301000010000110;-39758,48
01.03.2015;0266010832;18210908060010000140;-184,94
01.03.2015;0266010832;18210908020060000140;-1267
01.03.2015;0266010832;18210908040080000140;-157,32
01.03.2015;0266010832;18210904030010000110;-447,18
01.03.2015;0266010832;18210301000010000110;-381,95
01.03.2015;0266002550;18210301000010000110;-549,62
01.03.2015;0266002550;18210301000010000110;-1984,41
01.03.2015;0266003377;18210905050010000110;-510
01.03.2015;0266003377;18210901020040000110;-124,15
01.03.2015;0266003377;18210101012020000110;-1453,78
01.03.2015;0266003377;18210905050010000110;-1841,17
01.03.2015;0266003377;18210301000010000110;-8954,48
01.03.2015;0266003377;18210904030010000110;-487,97
01.03.2015;0266003377;18210301000010000110;-2480,1
01.03.2015;0266003377;18210101012020000110;-1319,44
01.03.2015;0266003377;18210101012020000110;-421,95
01.03.2015;0266003377;18210101011010000110;-322,1
01.03.2015;0266003377;18210101011010000110;-1218,91
01.03.2015;0266003377;18210901020040000110;-388,23
01.03.2015;0266003377;18210901020040000110;-462,96
01.03.2015;0266003377;18210101011010000110;-1007,23
01.03.2015;0266003377;18210904030010000110;-135,08
01.03.2015;0266004765;18210908020060000140;-2137,98
01.03.2015;0266004765;18210908020060000140;-2103
01.03.2015;0266004765;18210907032040000110;-385,99
01.03.2015;0266004765;18210908020060000140;-114,06
01.03.2015;0266004765;18210901020040000110;-694,15
01.03.2015;0266004765;18210301000010000110;-1198,6
01.03.2015;0266004765;18210908060010000140;-307,51
01.03.2015;0266004765;18210904010020000110;-1747,1
01.03.2015;0266004765;18210908060010000140;-145,36
01.03.2015;0266004765;18210901020040000110;-2261,67
01.03.2015;0266004765;18210101012020000110;-2359,14
01.03.2015;0266004765;18210101012020000110;-7206,24
01.03.2015;0266004765;18210907032040000110;-167
01.03.2015;0266004765;18210301000010000110;-3611,96
01.03.2015;0266004765;18210907052040000110;-301,63
01.03.2015;0266004765;18210907052040000110;-108,3
01.03.2015;0266004765;18210904010020000110;-4379,04
01.03.2015;0266004765;18210905050010000110;-116,8
01.03.2015;0266004765;18210905050010000110;-399,27
01.03.2015;0266004765;18210101011010000110;-5727,03
01.03.2015;0266004765;18210101011010000110;-1800,91
01.03.2015;0266000344;18210301000010000110;-241,52
01.03.2015;0266000344;18210301000010000110;-872,55
01.03.2015;0266005504;18210901020040000110;-1004,12
01.03.2015;0266005504;18210301000010000110;-2255,74
01.03.2015;0266005504;18210904030010000110;-300,7
01.03.2015;0266005504;18210101012020000110;-3412,59
01.03.2015;0266005504;18210101011010000110;-2605,08
01.03.2015;0266005504;18210301000010000110;-11835,74
01.03.2015;0266005504;18210904030010000110;-1085,89
01.03.2015;0266005504;18210301000010000110;-8144,34
01.03.2015;0266003634;18210908030070000140;-321
01.03.2015;0266003634;18210908030070000140;-363,18
01.03.2015;0266004243;18210301000010000110;-50706,04
01.03.2015;0266004243;18210301000010000110;-17164,41
01.03.2015;0266004243;18210908030070000140;-1207
01.03.2015;0266004243;18210908030070000140;-1330,29
01.03.2015;0266004243;18210908060010000140;-237,14
01.03.2015;0266004243;18210908020060000140;-3331,58
01.03.2015;0266004243;18210904010020000110;-1643,9
01.03.2015;0266004243;18210101012020000110;-6040,77
01.03.2015;0266004243;18210101012020000110;-1987,41
01.03.2015;0266004243;18210901020040000110;-1773,89
01.03.2015;0266004243;18210901020040000110;-584,78
01.03.2015;0266004243;18210907052040000110;-621,19
01.03.2015;0266004243;18210908040080000140;-519,61
